Keyword,title,price,raw_price,rating,Reviews,platform,position,Delivery,Link,thumbnail,Data_Source,brand,rank,visibility_score,top_10_products,price_range
men running shoes,HP men running shoes Model 956,1861.0,,3.9,652,croma,,5 Days,,,CSV,HP,12,8.333333333333332,False,Mid Range
air fryer India,Dell air fryer India Model 284,36220.0,,3.6,2875,croma,,Free Delivery,,,CSV,Dell,15,6.666666666666667,False,Luxury
microwave oven convection,Dell microwave oven convection Model 370,41318.0,,3.8,4161,reliance digital,,2 Days,,,CSV,Dell,13,7.6923076923076925,False,Luxury
office chair ergonomic,Puma office chair ergonomic Model 514,23925.5,,4.4,3775,croma,,5 Days,,,CSV,Puma,7,14.285714285714285,True,Premium
men running shoes,Samsung men running shoes Model 311,47745.0,,3.7,1278,flipkart,,Free Delivery,,,CSV,Samsung,14,7.142857142857142,False,Luxury
microwave oven convection,Nike microwave oven convection Model 591,22546.5,,2.7,3821,reliance digital,,5 Days,,,CSV,Nike,24,4.166666666666666,False,Premium
air fryer India,Dell air fryer India Model 810,10588.0,,3.9,4559,croma,,5 Days,,,CSV,Dell,12,8.333333333333332,False,Premium
air fryer India,HP air fryer India Model 922,15908.0,,3.0,2532,reliance digital,,5 Days,,,CSV,HP,21,4.761904761904762,False,Premium
power bank fast charging,Boat power bank fast charging Model 137,26131.0,,3.9,1650,reliance digital,,5 Days,,,CSV,Boat,12,8.333333333333332,False,Luxury
microwave oven convection,HP microwave oven convection Model 231,15909.0,,3.3,3043,reliance digital,,Free Delivery,,,CSV,HP,18,5.555555555555555,False,Premium
office chair ergonomic,Nike office chair ergonomic Model 462,23777.0,,3.7,1783,croma,,2 Days,,,CSV,Nike,14,7.142857142857142,False,Premium
microwave oven convection,Puma microwave oven convection Model 380,17378.0,,4.6,4702,flipkart,,5 Days,,,CSV,Puma,5,20.0,True,Premium
men running shoes,HP men running shoes Model 157,35128.0,,4.7,2310,reliance digital,,2 Days,,,CSV,HP,4,25.0,True,Luxury
office chair ergonomic,LG office chair ergonomic Model 374,23925.5,,4.5,1364,croma,,5 Days,,,CSV,LG,6,16.666666666666664,True,Premium
men running shoes,Philips men running shoes Model 776,12533.0,,4.8,208,flipkart,,Free Delivery,,,CSV,Philips,3,33.33333333333333,True,Premium
air fryer India,Samsung air fryer India Model 961,14116.0,,2.6,2903,croma,,Free Delivery,,,CSV,Samsung,25,4.0,False,Premium
power bank fast charging,Nike power bank fast charging Model 363,702.0,,4.5,1477,flipkart,,2 Days,,,CSV,Nike,6,16.666666666666664,True,Mid Range
men running shoes,Dell men running shoes Model 705,20430.0,,4.6,4958,croma,,2 Days,,,CSV,Dell,5,20.0,True,Premium
microwave oven convection,Samsung microwave oven convection Model 692,49213.0,,4.9,4261,amazon,,Free Delivery,,,CSV,Samsung,2,50.0,True,Luxury
microwave oven convection,HP microwave oven convection Model 498,36910.0,,3.3,1021,flipkart,,2 Days,,,CSV,HP,18,5.555555555555555,False,Luxury
microwave oven convection,Boat microwave oven convection Model 460,16391.0,,4.4,4959,croma,,2 Days,,,CSV,Boat,7,14.285714285714285,True,Premium
office chair ergonomic,Boat office chair ergonomic Model 748,27212.0,,3.0,2333,flipkart,,Free Delivery,,,CSV,Boat,21,4.761904761904762,False,Luxury
power bank fast charging,LG power bank fast charging Model 928,23555.0,,4.9,506,flipkart,,Free Delivery,,,CSV,LG,2,50.0,True,Premium
office chair ergonomic,HP office chair ergonomic Model 934,42606.0,,3.0,3555,flipkart,,Free Delivery,,,CSV,HP,21,4.761904761904762,False,Luxury
power bank fast charging,Sony power bank fast charging Model 242,17801.0,,3.4,2910,croma,,2 Days,,,CSV,Sony,17,5.88235294117647,False,Premium
microwave oven convection,Dell microwave oven convection Model 190,41050.0,,4.4,1230,reliance digital,,Free Delivery,,,CSV,Dell,7,14.285714285714285,True,Luxury
power bank fast charging,Philips power bank fast charging Model 319,38764.0,,3.9,416,croma,,5 Days,,,CSV,Philips,12,8.333333333333332,False,Luxury
power bank fast charging,Samsung power bank fast charging Model 461,2621.0,,4.9,112,amazon,,Free Delivery,,,CSV,Samsung,2,50.0,True,Mid Range
power bank fast charging,Boat power bank fast charging Model 133,4165.0,,3.4,2655,croma,,5 Days,,,CSV,Boat,17,5.88235294117647,False,Mid Range
office chair ergonomic,Philips office chair ergonomic Model 510,48400.0,,4.8,469,reliance digital,,Free Delivery,,,CSV,Philips,3,33.33333333333333,True,Luxury
men running shoes,Boat men running shoes Model 369,22065.0,,3.6,1998,flipkart,,2 Days,,,CSV,Boat,15,6.666666666666667,False,Premium
microwave oven convection,Sony microwave oven convection Model 340,22546.5,,4.3,4487,reliance digital,,5 Days,,,CSV,Sony,8,12.5,True,Premium
office chair ergonomic,Nike office chair ergonomic Model 416,23925.5,,3.7,1943,croma,,Free Delivery,,,CSV,Nike,14,7.142857142857142,False,Premium
air fryer India,Philips air fryer India Model 746,23754.5,,4.0,4869,croma,,Free Delivery,,,CSV,Philips,11,9.090909090909092,False,Premium
men running shoes,LG men running shoes Model 542,22065.0,,3.8,2690,reliance digital,,5 Days,,,CSV,LG,13,7.6923076923076925,False,Premium
air fryer India,Philips air fryer India Model 250,32487.0,,4.5,2194,reliance digital,,Free Delivery,,,CSV,Philips,6,16.666666666666664,True,Luxury
men running shoes,LG men running shoes Model 220,13243.0,,3.7,1513,flipkart,,Free Delivery,,,CSV,LG,14,7.142857142857142,False,Premium
microwave oven convection,Dell microwave oven convection Model 363,27413.0,,3.1,1596,flipkart,,2 Days,,,CSV,Dell,20,5.0,False,Luxury
power bank fast charging,HP power bank fast charging Model 389,18862.0,,4.7,4825,flipkart,,5 Days,,,CSV,HP,4,25.0,True,Premium
air fryer India,Puma air fryer India Model 420,19293.0,,3.5,721,amazon,,2 Days,,,CSV,Puma,16,6.25,False,Premium
air fryer India,Dell air fryer India Model 471,25906.0,,2.8,2582,reliance digital,,Free Delivery,,,CSV,Dell,23,4.3478260869565215,False,Luxury
men running shoes,Puma men running shoes Model 302,46676.0,,3.0,1248,flipkart,,Free Delivery,,,CSV,Puma,21,4.761904761904762,False,Luxury
air fryer India,Sony air fryer India Model 232,44203.0,,4.7,2799,croma,,Free Delivery,,,CSV,Sony,4,25.0,True,Luxury
power bank fast charging,Dell power bank fast charging Model 386,26131.0,,4.2,962,reliance digital,,Free Delivery,,,CSV,Dell,9,11.11111111111111,True,Luxury
microwave oven convection,HP microwave oven convection Model 285,22546.5,,3.8,2826,flipkart,,2 Days,,,CSV,HP,13,7.6923076923076925,False,Premium
air fryer India,Puma air fryer India Model 349,30268.0,,4.2,3941,croma,,Free Delivery,,,CSV,Puma,9,11.11111111111111,True,Luxury
men running shoes,Boat men running shoes Model 401,22065.0,,3.2,1261,reliance digital,,5 Days,,,CSV,Boat,19,5.263157894736842,False,Premium
power bank fast charging,Nike power bank fast charging Model 369,44892.0,,3.9,383,amazon,,2 Days,,,CSV,Nike,12,8.333333333333332,False,Luxury
microwave oven convection,HP microwave oven convection Model 284,44322.0,,4.3,2946,croma,,5 Days,,,CSV,HP,8,12.5,True,Luxury
air fryer India,Boat air fryer India Model 908,41753.0,,4.3,3905,reliance digital,,Free Delivery,,,CSV,Boat,8,12.5,True,Luxury
office chair ergonomic,LG office chair ergonomic Model 572,23787.0,,4.4,2192,croma,,Free Delivery,,,CSV,LG,7,14.285714285714285,True,Premium
men running shoes,Nike men running shoes Model 761,22667.0,,4.7,1929,flipkart,,Free Delivery,,,CSV,Nike,4,25.0,True,Premium
office chair ergonomic,LG office chair ergonomic Model 655,41827.0,,4.1,,flipkart,,Free Delivery,,,CSV,LG,10,10.0,True,Luxury
air fryer India,LG air fryer India Model 811,33630.0,,4.0,1597,reliance digital,,Free Delivery,,,CSV,LG,11,9.090909090909092,False,Luxury
microwave oven convection,Puma microwave oven convection Model 556,22546.5,,4.3,4490,croma,,2 Days,,,CSV,Puma,8,12.5,True,Premium
air fryer India,LG air fryer India Model 528,48545.0,,4.5,309,flipkart,,5 Days,,,CSV,LG,6,16.666666666666664,True,Luxury
microwave oven convection,LG microwave oven convection Model 606,30148.0,,2.7,4899,croma,,5 Days,,,CSV,LG,24,4.166666666666666,False,Luxury
power bank fast charging,Dell power bank fast charging Model 949,26802.0,,2.9,3666,flipkart,,Free Delivery,,,CSV,Dell,22,4.545454545454546,False,Luxury
power bank fast charging,HP power bank fast charging Model 389,26131.0,,3.9,1152,croma,,5 Days,,,CSV,HP,12,8.333333333333332,False,Luxury
power bank fast charging,Sony power bank fast charging Model 531,32369.0,,2.6,2525,flipkart,,Free Delivery,,,CSV,Sony,25,4.0,False,Luxury
men running shoes,Samsung men running shoes Model 624,22065.0,,3.7,4218,croma,,5 Days,,,CSV,Samsung,14,7.142857142857142,False,Premium
office chair ergonomic,Nike office chair ergonomic Model 985,46962.0,,3.6,526,croma,,2 Days,,,CSV,Nike,15,6.666666666666667,False,Luxury
power bank fast charging,HP power bank fast charging Model 469,23432.0,,3.3,,croma,,2 Days,,,CSV,HP,18,5.555555555555555,False,Premium
power bank fast charging,Samsung power bank fast charging Model 954,16114.0,,3.1,3197,reliance digital,,2 Days,,,CSV,Samsung,20,5.0,False,Premium
power bank fast charging,Puma power bank fast charging Model 144,36520.0,,3.1,3011,reliance digital,,5 Days,,,CSV,Puma,20,5.0,False,Luxury
office chair ergonomic,Nike office chair ergonomic Model 799,48982.0,,3.3,3233,amazon,,Free Delivery,,,CSV,Nike,18,5.555555555555555,False,Luxury
power bank fast charging,Samsung power bank fast charging Model 447,14024.0,,4.0,3085,reliance digital,,Free Delivery,,,CSV,Samsung,11,9.090909090909092,False,Premium
air fryer India,LG air fryer India Model 152,28647.0,,3.9,3757,flipkart,,5 Days,,,CSV,LG,12,8.333333333333332,False,Luxury
office chair ergonomic,Nike office chair ergonomic Model 321,17858.0,,3.7,666,flipkart,,5 Days,,,CSV,Nike,14,7.142857142857142,False,Premium
air fryer India,Nike air fryer India Model 609,34421.0,,2.8,660,amazon,,Free Delivery,,,CSV,Nike,23,4.3478260869565215,False,Luxury
power bank fast charging,Boat power bank fast charging Model 295,17152.0,,3.9,1879,flipkart,,Free Delivery,,,CSV,Boat,12,8.333333333333332,False,Premium
power bank fast charging,Samsung power bank fast charging Model 308,780.0,,2.9,2239,croma,,2 Days,,,CSV,Samsung,22,4.545454545454546,False,Mid Range
men running shoes,Puma men running shoes Model 846,1264.0,,4.2,1855,croma,,5 Days,,,CSV,Puma,9,11.11111111111111,True,Mid Range
air fryer India,Dell air fryer India Model 255,26154.0,,3.4,1644,flipkart,,Free Delivery,,,CSV,Dell,17,5.88235294117647,False,Luxury
power bank fast charging,Sony power bank fast charging Model 220,35128.0,,4.3,1617,amazon,,5 Days,,,CSV,Sony,8,12.5,True,Luxury
air fryer India,Boat air fryer India Model 553,23754.5,,4.5,1543,amazon,,2 Days,,,CSV,Boat,6,16.666666666666664,True,Premium
microwave oven convection,HP microwave oven convection Model 161,34850.0,,4.7,1498,amazon,,5 Days,,,CSV,HP,4,25.0,True,Luxury
power bank fast charging,Puma power bank fast charging Model 131,8933.0,,3.8,143,amazon,,2 Days,,,CSV,Puma,13,7.6923076923076925,False,Premium
office chair ergonomic,Puma office chair ergonomic Model 677,20577.0,,3.6,3338,croma,,5 Days,,,CSV,Puma,15,6.666666666666667,False,Premium
power bank fast charging,LG power bank fast charging Model 664,34516.0,,4.0,2812,amazon,,Free Delivery,,,CSV,LG,11,9.090909090909092,False,Luxury
microwave oven convection,Puma microwave oven convection Model 871,11766.0,,4.5,4784,reliance digital,,5 Days,,,CSV,Puma,6,16.666666666666664,True,Premium
men running shoes,HP men running shoes Model 660,22065.0,,4.1,1332,croma,,5 Days,,,CSV,HP,10,10.0,True,Premium
power bank fast charging,Philips power bank fast charging Model 956,22658.0,,4.3,4250,amazon,,2 Days,,,CSV,Philips,8,12.5,True,Premium
air fryer India,HP air fryer India Model 320,23754.5,,3.4,381,reliance digital,,Free Delivery,,,CSV,HP,17,5.88235294117647,False,Premium
air fryer India,Puma air fryer India Model 328,22632.0,,4.8,2008,amazon,,Free Delivery,,,CSV,Puma,3,33.33333333333333,True,Premium
microwave oven convection,Boat microwave oven convection Model 117,12123.0,,4.6,4412,flipkart,,5 Days,,,CSV,Boat,5,20.0,True,Premium
microwave oven convection,Philips microwave oven convection Model 955,22546.5,,4.3,4330,flipkart,,5 Days,,,CSV,Philips,8,12.5,True,Premium
power bank fast charging,HP power bank fast charging Model 832,30429.0,,4.4,4501,flipkart,,Free Delivery,,,CSV,HP,7,14.285714285714285,True,Luxury
power bank fast charging,Sony power bank fast charging Model 552,1240.0,,4.0,1072,flipkart,,Free Delivery,,,CSV,Sony,11,9.090909090909092,False,Mid Range
men running shoes,Nike men running shoes Model 523,19303.0,,4.7,3172,amazon,,2 Days,,,CSV,Nike,4,25.0,True,Premium
office chair ergonomic,Sony office chair ergonomic Model 587,2295.0,,3.7,4417,croma,,5 Days,,,CSV,Sony,14,7.142857142857142,False,Mid Range
microwave oven convection,Nike microwave oven convection Model 158,22546.5,,3.5,4292,croma,,5 Days,,,CSV,Nike,16,6.25,False,Premium
office chair ergonomic,Puma office chair ergonomic Model 360,24626.0,,2.8,3256,croma,,Free Delivery,,,CSV,Puma,23,4.3478260869565215,False,Luxury
power bank fast charging,Dell power bank fast charging Model 204,49421.0,,2.6,1928,flipkart,,Free Delivery,,,CSV,Dell,25,4.0,False,Luxury
air fryer India,Nike air fryer India Model 534,17928.0,,3.4,3731,reliance digital,,2 Days,,,CSV,Nike,17,5.88235294117647,False,Premium
men running shoes,LG men running shoes Model 145,30111.0,,3.1,702,reliance digital,,Free Delivery,,,CSV,LG,20,5.0,False,Luxury
air fryer India,Philips air fryer India Model 360,17016.0,,3.5,2921,reliance digital,,Free Delivery,,,CSV,Philips,16,6.25,False,Premium
power bank fast charging,HP power bank fast charging Model 824,3841.0,,3.8,1977,amazon,,5 Days,,,CSV,HP,13,7.6923076923076925,False,Mid Range
microwave oven convection,Samsung microwave oven convection Model 836,17755.0,,3.3,903,reliance digital,,Free Delivery,,,CSV,Samsung,18,5.555555555555555,False,Premium
power bank fast charging,Samsung power bank fast charging Model 858,4182.0,,4.4,2560,amazon,,Free Delivery,,,CSV,Samsung,7,14.285714285714285,True,Mid Range
power bank fast charging,LG power bank fast charging Model 466,49248.0,,3.9,1875,amazon,,5 Days,,,CSV,LG,12,8.333333333333332,False,Luxury
men running shoes,Nike men running shoes Model 143,44839.0,,2.6,3003,flipkart,,Free Delivery,,,CSV,Nike,25,4.0,False,Luxury
power bank fast charging,LG power bank fast charging Model 591,26131.0,,3.4,2625,amazon,,Free Delivery,,,CSV,LG,17,5.88235294117647,False,Luxury
office chair ergonomic,Boat office chair ergonomic Model 149,17627.0,,3.6,2289,amazon,,2 Days,,,CSV,Boat,15,6.666666666666667,False,Premium
power bank fast charging,LG power bank fast charging Model 249,26131.0,,2.8,2046,flipkart,,Free Delivery,,,CSV,LG,23,4.3478260869565215,False,Luxury
office chair ergonomic,Puma office chair ergonomic Model 996,23925.5,,3.1,2181,reliance digital,,5 Days,,,CSV,Puma,20,5.0,False,Premium
office chair ergonomic,Philips office chair ergonomic Model 390,23925.5,,3.7,2563,reliance digital,,5 Days,,,CSV,Philips,14,7.142857142857142,False,Premium
power bank fast charging,LG power bank fast charging Model 549,32260.0,,4.7,1850,reliance digital,,5 Days,,,CSV,LG,4,25.0,True,Luxury
power bank fast charging,Philips power bank fast charging Model 461,26131.0,,3.1,4526,amazon,,2 Days,,,CSV,Philips,20,5.0,False,Luxury
office chair ergonomic,Sony office chair ergonomic Model 269,35424.0,,3.8,886,amazon,,5 Days,,,CSV,Sony,13,7.6923076923076925,False,Luxury
air fryer India,Philips air fryer India Model 729,21132.0,,2.7,4262,croma,,Free Delivery,,,CSV,Philips,24,4.166666666666666,False,Premium
men running shoes,Philips men running shoes Model 417,12377.0,,4.1,1839,flipkart,,5 Days,,,CSV,Philips,10,10.0,True,Premium
power bank fast charging,Nike power bank fast charging Model 843,21420.0,,4.5,465,flipkart,,Free Delivery,,,CSV,Nike,6,16.666666666666664,True,Premium
office chair ergonomic,Nike office chair ergonomic Model 207,18384.0,,3.9,3798,flipkart,,2 Days,,,CSV,Nike,12,8.333333333333332,False,Premium
microwave oven convection,HP microwave oven convection Model 936,39408.0,,4.2,3196,croma,,5 Days,,,CSV,HP,9,11.11111111111111,True,Luxury
air fryer India,Philips air fryer India Model 269,23754.5,,3.6,1770,flipkart,,5 Days,,,CSV,Philips,15,6.666666666666667,False,Premium
office chair ergonomic,LG office chair ergonomic Model 518,37579.0,,3.0,2735,amazon,,2 Days,,,CSV,LG,21,4.761904761904762,False,Luxury
men running shoes,Boat men running shoes Model 196,6965.0,,4.7,281,amazon,,Free Delivery,,,CSV,Boat,4,25.0,True,Premium
power bank fast charging,LG power bank fast charging Model 926,5841.0,,3.5,1593,croma,,5 Days,,,CSV,LG,16,6.25,False,Premium
power bank fast charging,Samsung power bank fast charging Model 204,35892.0,,4.0,4811,amazon,,2 Days,,,CSV,Samsung,11,9.090909090909092,False,Luxury
men running shoes,Boat men running shoes Model 488,34899.0,,4.3,2120,amazon,,5 Days,,,CSV,Boat,8,12.5,True,Luxury
air fryer India,Philips air fryer India Model 777,24223.0,,2.9,2765,reliance digital,,5 Days,,,CSV,Philips,22,4.545454545454546,False,Luxury
office chair ergonomic,Puma office chair ergonomic Model 336,23925.5,,3.3,4418,flipkart,,2 Days,,,CSV,Puma,18,5.555555555555555,False,Premium
air fryer India,LG air fryer India Model 328,23754.5,,3.9,2799,reliance digital,,5 Days,,,CSV,LG,12,8.333333333333332,False,Premium
microwave oven convection,LG microwave oven convection Model 465,35692.0,,3.1,560,flipkart,,2 Days,,,CSV,LG,20,5.0,False,Luxury
men running shoes,Philips men running shoes Model 921,6136.0,,3.7,3343,croma,,Free Delivery,,,CSV,Philips,14,7.142857142857142,False,Premium
men running shoes,Sony men running shoes Model 459,42264.0,,3.5,3067,flipkart,,2 Days,,,CSV,Sony,16,6.25,False,Luxury
office chair ergonomic,Puma office chair ergonomic Model 906,23890.0,,3.7,2464,reliance digital,,2 Days,,,CSV,Puma,14,7.142857142857142,False,Premium
power bank fast charging,Puma power bank fast charging Model 949,26131.0,,4.8,1988,amazon,,Free Delivery,,,CSV,Puma,3,33.33333333333333,True,Luxury
men running shoes,HP men running shoes Model 911,9329.0,,4.5,418,amazon,,5 Days,,,CSV,HP,6,16.666666666666664,True,Premium
